Station;NOM CRM
;
ABRIES;ABRIES
Aigues-Mortes;AIGUES MORTES
Aime-La-Plagne;AIME 2000
AIX EN PROVENCE;AIX EN PROVENCE
Aix Les Bains;AIX LES BAINS RIVIERA DES ALPES
Aix-les-Bains;AIX LES BAINS RIVIERA DES ALPES
Albertville;ALBERTVILLE - UGINE
Albertville - Mercury;ALBERTVILLE - UGINE
Albertville - Ugine;ALBERTVILLE - UGINE
Albiez-Le-Jeune;ALBIEZ-MONTROND
Albiez-Montrond;ALBIEZ-MONTROND
Alénya;ALENYA
Alpe d'Huez;L'ALPE D'HUEZ
Alpes du Léman;ALPES DU LEMAN
Anglet;ANGLET
Annecy;ANNECY VILLE NOUVELLE
Annecy - Campagne;ANNECY CAMPAGNE
Annecy - Sources du Lac;SOURCES DU LAC D'ANNECY
Arc 1600;ARC 1600
Arc 1800;ARC 1800
Arc 1950;ARC 1950 - 2000
Arc 2000;ARC 1950 - 2000
ARCANGUES;0
Arêches;ARECHES BEAUFORT
Arêches Beaufort;ARECHES BEAUFORT
ARGELES;ARGELES-SUR-MER
Argeles Plage, Argelès-sur-Mer;ARGELES-SUR-MER
Argelès-sur-mer;ARGELES-SUR-MER
ARGENTAT;0
ARLES;ARLES
Artouste - Laruns;LARUNS - ARTOUSTE
Arvieux en Queyras;ARVIEUX EN QUEYRAS
ARZON;0
Auris en Oisans;AURIS EN OISANS
Auris-en-Oisans ;AURIS EN OISANS
Auron;AURON
Aussois;AUSSOIS
Autrans;AUTRANS - MEAUDRE EN VERCORS
AVIGNON;AVIGNON
Avoriaz;AVORIAZ
Ax-Les-Thermes;VALLEE D'AX
Ax-Les-Thermes - Bonascre;VALLEE D'AX
Bagnères-de-bigorre;BAGNERES DE BIGORRE
Balaruc-les-Bains ;BALARUC-LES-BAINS
Balaruc-le-Vieux;BALARUC-LES-BAINS
Banyuls sur Mer;BANYULS-SUR-MER
Banyuls-sur-Mer;BANYULS-SUR-MER
Baratier;BARATIER
Barcelonnette;BARCELONNETTE
Bareges;BAREGES
BARJAC;BARJAC
Bassussarry - Biarritz;BIARRITZ
Bauges;BAUGES
Bayonne;BAYONNE
Beaufort;ARECHES BEAUFORT
BELLE DUNE;BELLE DUNE
BENODET;BENODET
Bessan;BESSANS
Bessans;BESSANS
Bessilles-Montagnac;0
Beziers;BEZIERS MEDITERRANEE
Biarritz;BIARRITZ
Bidart;0
BISCARROSSE;BISCARROSSE
Bonneval-sur-Arc;BONNEVAL-SUR-ARC
Bourg St Maurice;BOURG SAINT MAURICE
Bourg St Maurice - Les Arcs;BOURG SAINT MAURICE
Bourg-Saint-Maurice;BOURG SAINT MAURICE
